LS,POINT,MS,TYPE,PT#,DESC,LO FAIL,HI FAIL,LO RANGE,HI RANGE,UNITS
26,26 AC15 OAT,0,AI,0,26 AC15 OUTSIDE AIR TEMPERATURE,20,212,0,409.5,Deg F
26,26 AC15 RAT,0,AI,1,AC-15-26 RETURN AIR TEMPERATURE,32,212,0,409.5,Deg F
26,26 AC15 SAT,0,AI,2,26 AC15 SUPPLY AIR TEMPERATURE,32,212,0,409.5,Deg F
26,26 AC15 STP,0,AI,3,26 AC15 STATIC PRESSURE,-1,6,-1.25,5.859,INCHES
26,26 AC15 ECNDMP,0,AO,0,26 AC15 ECONOMIZER DAMPER,0,100,-25,100,% OPEN
26,26 AC15 RELDMP,0,AO,1,26 AC15 RELIEF DAMPER,0,100,0,100,% 0PEN
26,26 AC15 SA SMK,0,DI,0,26 AC15 SUPPLY AIR SMOKE,,,CLEAR,SMOKE!,Status
26,26 AC15 RA SMK,0,DI,1,26 AC15 RETURN AIR SMOKE,,,CLEAR,SMOKE!,Status
26,26 AC15 FANSTS,0,DI,2,26 AC15 FAN STATUS,,,OFF,ON,Status
26,26 AC15 FILTER,0,DI,3,26 AC15 FILTER STATUS,,,Clean,DIRTY,Status
26,26 AC15 FAN SS,0,DO,0,26 AC15 FAN START/STOP,,,STOP,RUN,Command
26,26 AC15 COMP,0,DO,1,26 AC15 DX COMPRESSOR START/STOP,,,OFF,ON,Command
26,26 AC15 HT S/S,0,DO,3,26 AC15 GAS HEAT START/STOP,,,OFF,ON,Command
26,26 AC15 AFT HR,0,DO,14,26 AC15 AFTER HOURS OCCUPANCY,,,UNOCCUP,OCCUPIED,Command
26,26 AC15 OCC,0,DO,15,26 AC15 OCCUPANCY,,,VACANT,OCCUPIED,Command
26,26 AC15 RAT SP,0,SP,0,AC-15-26 RETURN AIR TEMP. S/P,32,212,0,409.5,Deg F
26,26 AC15 ANYOCC,0,SP,15,26 AC15 COUNTS OCC SENSORS 'ON',0,5000,0,4095,SENSORS
26,26 BL13 S/S,1,DO,0,B26 BL-13 EXHAUST FAN S/S,,,OFF,ON,Command
26,26 AC15 COOL 2,1,DO,11,26 AC15 MECHANICAL COOLING 2 STG,,,OFF,ON,Command
26,26 AC15 COOL 1,1,DO,12,26 AC15 ECONOMIZER COOLING 1 STG,,,OFF,ON,Command
26,26 AC15 ECN SS,1,DO,14,26 AC15 ECONOMIZER ON/OFF CNTRL,,,OFF,ON,Command
26,26 AC15 MAXRNG,1,SP,6,26 AC15 MAX RANGE SETPOINT,32,212,0,409.5,Deg F
26,26 AC15 MAXZAT,1,SP,7,26 AC15 MAXIMUM ZONE TEMP,32,212,0,409.5,Deg F
26,26 DX OFF TMR,1,SP,8,AC15 DX COMP. - TIME 'TIL OFF OK,0,5000,0,4095,MINUTES
26,26 DX ON TMR,1,SP,9,AC15 DX COMP. - TIME 'TIL ON OK,0,5000,0,4095,MINUTES
26,26 AC15 SAT SP,1,SP,11,26 AC15 SUPPLY AIR TEMP. S/P,32,212,0,409.5,Deg F
26,26 AC15 ECN SP,1,SP,12,26 AC15 ECONOMIZER SETPOINT,32,212,0,409.5,Deg F
26,26 AC15 CSP 2,1,SP,13,26 AC15 MECHANICAL COOLING S/P,32,212,0,409.5,Deg F
26,26 AC15 HEATSP,1,SP,14,26 AC15 GAS HEATING SETPOINT,32,212,0,409.5,Deg F
26,26 AC15 CSP 1,1,SP,15,26 AC15 1st STAGE COOLING S/P,32,212,0,409.5,Deg F
26,26 HHW SWT,2,AI,0,26 HEATING HOT WATER SUPPLY TEMP,32,212,0,409.5,Deg F
26,26 HHW RWT,2,AI,1,26 HEATING HOT WATER RETURN TEMP,32,212,0,409.5,Deg F
26,26 BL15 SPEED,2,AI,2,B26 BL-15 VFD SPEED FEEDBACK,-1,61,0,60,Hertz
26,26 FL1 AVE ZAT,2,AI,3,1st FLOOR AVE. ZAT (AI INPUT),-1,410,2.6,102.6,Deg F
26,26 BL14 CONTRL,2,AO,0,B26 BL-14 SPEED CONTROL TO VFD,-1,61,0,60,Hertz
26,26 BL15 CONTRL,2,AO,1,B26 BL-15 SPEED CONTROL TO VFD,-1,61,0,60,Hertz
26,26 HHW FLOW,2,DI,0,26 HEATING HOT WATER FLOW SWITCH,,,Off  (0),On   (1),Status
26,26 GP6 STATUS,2,DI,1,26 HOT WATER PUMP 6 STATUS,,,OFF,ON,Status
26,26 GP7 STATUS,2,DI,2,26 HOT WATER PUMP 7 STATUS,,,OFF,ON,Status
26,26 FL1 OCC #,2,DI,3,B26 FIRST FLOOR OCCUPIED?,,,VACANT,OCCUPIED,Status
26,26 GP6 S/S,2,DO,0,26 HOT WATER PUMP 6 START/STOP,,,OFF,ON,Command
26,26 GP7 S/S,2,DO,1,26 HOT WATER PUMP 7 START/STOP,,,OFF,ON,Command
26,26 BR1 S/S,2,DO,2,26 HHW BOILER 001 ENABLE/DISABLE,,,OFF,ENABLED,Command
26,26 OPTVAL,2,SP,12,26 AC15 OPT VALUE OF WARMUP TIME,0,5000,0,4095,MINUTES
26,26 AC15 OPTTMR,2,SP,13,26 AC15 OPTIMAL START TIMER,0,4095,0,4095,MINUTES
26,26 OPTMINAVG,2,SP,14,26 AC15 OPT MINUTES FROM AVGZAT,0,409.5,0,409.5,Deg F
26,26 OPTMINOAT,2,SP,15,26 AC15 OPT MINUTES FROM OAT,0,409.5,0,409.5,Deg F
26,26 FL1 AVE_ZAT,4,AO,0,1st FLOOR AVE. ZAT (AO OUTPUT),-1,410,0,100,DEG. F.
26,26 FL1 OCC,4,DO,3,B26 FIRST FLOOR OCCUPIED?,,,VACANT,OCCUPIED,Command
26,26 FL1 AVE-ZAT,4,SP,0,1st FLOOR AVE. ZAT (SP FOR AVE.),-1,410,0,409.5,Deg F
26,26 FL1 ANYOCC,4,SP,15,COUNTS ACTIVE SENSORS,-1,410,0,4095,SENSORS
26,26 AHU2 ZATI04,5,AI,0,B26 ROOM 04 TEMP. SENSOR INPUT,45,95,45,95,Deg F
26,26 AHU2 ZAT 08,5,AI,1,B26 ROOM 08 TEMP. SENSOR,20,212,0,409.5,Deg F
26,26 AHU2 ZATI24,5,AI,2,B26 ROOM 24 TEMP. SENSOR INPUT,45,95,45,95,Deg F
26,26 AHU2 ZATI32,5,AI,3,B26 ROOM 32 TEMP. SENSOR INPUT,45,95,45,95,Deg F
26,26 AHU2 SS VFD,5,AO,0,B26 AHU 2 SUPPLY AIR VFD CONTROL,0,60,0,60,Hertz
26,26 AHU2 SA HWV,5,AO,1,B26 AHU 2 HEATING HW VALVE CNTL.,0,100,0,100,%
26,26 AHU2 OCC 04,5,DI,0,B26 ROOM 04 OCCUPANCY INPUT,,,VACANT,OCCUPIED,Status
26,26 AHU2 OCC 08,5,DI,1,B26 ROOM 08 OCCUPANCY INPUT,,,VACANT,OCCUPIED,Status
26,26 AHU2 OCC 24,5,DI,2,B26 ROOM 24 OCCUPANCY INPUT,,,VACANT,OCCUPIED,Status
26,26 AHU2 OCC 32,5,DI,3,B26 ROOM 32 OCCUPANCY INPUT,,,VACANT,OCCUPIED,Status
26,26 AHU2 EHT 04,5,DO,0,B26 ROOM 04 ELECTRIC HEAT,,,No heat,HEAT ON,Command
