LS,POINT,MS,TYPE,PT#,DESC,LO FAIL,HI FAIL,LO RANGE,HI RANGE,UNITS
4,04 BL01 ZAT,1,AI,0,ROOM 111 ZONE TEMPERATURE,32,212,0,409.5,Deg F
4,04 R111 ZAT,1,AI,0,BL01 ZONE AIR TEMP RM111,32,212,0,409.5,Deg F
4,04 BL01 MAT,1,AI,1,BL01 MIXED AIR TEMPERATURE,32,212,0,409.5,Deg F
4,04 BL01 RAT,1,AI,2,BL01 RETURN AIR TEMPERATURE,32,212,0,409.5,Deg F
4,04 BL01 SAT,1,AI,3,BL01 SUPPLY AIR TEMP,32,212,0,409.5,Deg F
4,04 BL01 ECON,1,AO,0,BL-01-04 O.A.DMPR. N.C. 5-15#,-1,16,0,15,PSIG
4,04 BL01 BYP,1,CI,1,BL01 HEATING/VENTILATING BYPASS,,,OFF,1,Counts
4,04 AF01 FILTER,1,DI,0,AF01 AIR FILTER STATUS,,,Clean,DIRTY,Status
4,04 GH07 STS,1,DI,2,GH07 GAS HEAT STATUS,,,OFF,ON,Status
4,04 BL01 FAN,1,DO,0,BL01 SUPPLY FAN ENABLE,,,DISABLE,ENABLE,Command
4,04 BL08 FAN,1,DO,1,BL08 RETURN FAN ENABLE,,,DISABLE,ENABLE,Command
4,04 BL11 FAN,1,DO,2,BL11 EXHAUST FAN ENABLE,,,DISABLE,ENABLE,Command
4,04 GH07 GHT,1,DO,3,GH07 GAS HEAT ENABLE,,,DISABLE,ENABLE,Command
4,04 BL01 WARM,1,DO,4,BL01 WARMUP FLAG,,,OFF,ON,Command
4,04 BL01 VENT,1,DO,5,BL01 VENTILATION FLAG,,,DISABLE,ENABLE,Command
4,04 BL01 ZSPH,1,SP,0,BL01 ZONE HEATING SETPOINT,32,212,0,409.5,Deg F
4,04 BL01 OZAT,1,SP,1,BL01 OPTIMUM ZONE AIR TEMP,0,409,0,409.5,Deg F
4,04 BL01 VAL,1,SP,2,BL01 OPTIMUM MINIMUM VALUE,0,4095,0,4095,MINUTES
4,04 OPT MIN OAT,1,SP,3,B4 OPTIMUM MIN OUTSIDE AIR TEMP,0,409,0,409.5,Deg F
4,04 BL01 MAT SP,1,SP,4,BL-01-04 MIXED AIR TEMP. S/P,32,212,0,409.5,Deg F
4,04 BR2 HHW RT,2,AI,1,BR02 HW RETURN TEMP,-1,410,0,409.5,Deg F
4,04 BR2 HHW ST,2,AI,2,BR02 HW SUPPLY TEMP,-1,410,0,409.5,Deg F
4,04 BR2 ALM STS,2,DI,1,BR-02-04 LOW WATER ALARM INPUT,,,LOW H2O,Normal,Status
4,04 GP01 STS,2,DI,2,GP-1 HHW CIRC. PUMP STATUS,,,OFF,ON,Status
4,04 GP01 S/S,2,DO,1,GP-1 HHW CIRC. PUMP + BR-2-04,,,DISABLE,ENABLE,Command
4,04 BR2 LO H2O,2,DO,4,BR-02-04 LOW WATER ALARM,,,LOW H2O,Normal,Command
4,05 R135 ZAT,3,AI,0,GH02 ZONE AIR TEMP RM135,32,212,0,409.5,Deg F
4,05 GH01 SAT,3,AI,1,GH01 SUPPLY AIR TEMP,32,212,0,409.5,Deg F
4,05 R112 ZAT,3,AI,2,GH01 ZONE AIR TEMP RM112,32,212,0,409.5,Deg F
4,05 GH02 SAT,3,AI,3,GH02 SUPPLY AIR TEMP,32,212,0,409.5,Deg F
4,05 BL01 BYP,3,CI,1,BL01 HEATING/VENTILATING BYPASS,,,OFF,1,Counts
4,05 GH02 BYP,3,CI,3,GH02 HEATING BYPASS,,,OFF,1,Counts
4,05 AF01 FILTER,3,DI,0,AF01 AIR FILTER STATUS,,,Clean,DIRTY,Status
