LS,POINT,MS,IO,PT#,DESC,LO FAIL,HI FAIL,LO RANGE,HI RANGE,UNITS,NOTES
6,06 AHU17 ZAT,1,AI,0,ZONE TEMPERATURE FROM ALS FLOOR,32,212,0,409.5,Deg F,
6,06 AHU17 SPEED,1,AI,1,AHU17 VFD SPEED FEEDBACK,-1,61,1,61,Hz,
6,06 BL42 DP,1,AI,2,BL-42-06 VACUUM EXH. DIFF.PRESS.,0,-3,0.625,-2.93,'' W.C.,
6,06 BL43 DP,1,AI,3,BL-43-06 VACUUM EXH. DIFF.PRESS.,0,-3,0.625,-2.93,'' W.C.,
6,06 AHU17 CTL,1,AO,1,AHU17 VFD SPEED CONTROL,-1,61,0,60,Hz,
6,06 AHU17 OADMP,1,AO,2,2VDC=FULL R.A.__10VDC=FULL O.A.,-1,101,-25,100,% O.S.A.,
6,06 AHU17PRGSTS,1,DI,0,AHU17 PURGE RELAY STATUS,,,Normal,PURGE ON,Status,
6,06 AHU17VNTSTS,1,DI,1,AHU17 VENT RELAY STATUS,,,Normal,VENT ON,Status,
6,06 AH17 FILT,1,DI,2,AHU17 FILTER STATUS,,,Clean,DIRTY!!,Status,
6,06 AHU17 STS,1,DI,3,VFD FAN STATUS,,,OFF,RUNNING,Status,
6,06 AHU17 FANSS,1,DO,0,AHU17 VFD FAN START/STOP,,,STOP,START,Command,
6,06 POWERSTATUS,1,DO,3,WATCHING POWER STATUS TO FANS,,,NO POWER,POWER OK,Command,
6,06 AHU GEN SMK,1,DO,5,ALS AHU UNIT(S) SMOKE ALARM,,,Normal,SMOKE!!,Command,
6,06 AHU17 ALM,1,DO,15,VFD SPEED MIS-MATCH ALARM,,,NORMAL,ALARM,Command,
6,06 AHU START,1,SP,0,ALS AHU UNIT(S) SCHEDULE START,0,2400,0,4095,O'CLOCK,
6,06 AHU STOP,1,SP,1,ALS AHU UNIT(S) SCHEDULE STOP,0,2400,0,4095,O'CLOCK,
6,06 OAT DEG C,1,SP,2,ALS CELSIUS OUTSIDE AIR TEMP.,-18,210,-17.78,209.72,Deg C,
6,06 HOURLY OAT,1,SP,3,B06 HOURLY OUTSIDE AIR TEMP IN C,-1,150,-17.78,209.72,Deg C,
6,06 AHU17 ZSP,1,SP,6,ALS FLOOR ZONE TEMP. SETPOINT,32,212,0,409.5,Deg F,
6,06 RHC AVGZAT#,1,SP,15,USED TO CONTROL AHU17+18+19 SPD,32,212,0,409.5,Deg F,
6,06 AHU17 SAT,2,AI,0,AHU17 SUPPLY AIR TEMPERATURE,0,212,0,409.5,Deg F,
