LS,POINT,MS,TYPE,PT#,DESC,LO FAIL,HI FAIL,LO RANGE,HI RANGE,UNITS
1,70A R2275 ZAT,1,AI,0,70A ROOM 2275 ZONE AIR TEMP,32,212,0,409.5,Deg F
1,70A R2275 SP,1,AI,1,70A 2275 STATIC PRESS. (BL-85),100,-100,-30,26.9,'w.c*.01
1,70A R2275 FH15,1,AI,2,FUMEHOOD 15 VELOCITY (BL-85),-250,1200,-250,1171.875,FPM
1,70A R2275 H/C,1,AO,0,70A ROOM 2275 HEAT/COOLING VALVE,-1,18,0,17,PSIG
1,70A R2275 VAV,1,AO,1,70A ROOM 2275 SUPPLY AIR DAMPER,-1,18,0,17,PSIG
1,70A R2275 OCC,1,DI,0,70A ROOM 2275 OCCUPANCY STATUS,,,VACANT,OCCUPIED,Status
1,70A R2275 ZSP,1,SP,0,70A ROOM 2275 ZONE TEMP SETPOINT,32,212,0,409.5,Deg F
1,70A R2275 SPSP,1,SP,1,70A ROOM 2275 STATIC PRESS. S/P,100,-100,-30,26.9,'w.c*.01
1,70A R2275A ZAT,2,AI,0,70A ROOM 2275A ZONE AIR TEMP,32,212,0,409.5,Deg F
1,70A R2275B ZAT,2,AI,1,70A ROOM 2275B ZONE AIR TEMP,32,212,0,409.5,Deg F
1,70A R2275C ZAT,2,AI,2,70A ROOM 2275C ZONE AIR TEMP,32,212,0,409.5,Deg F
1,70A R2263A ZAT,2,AI,3,70A ROOM 2263A ZONE AIR TEMP,32,212,0,409.5,Deg F
1,70A R2275A HWV,2,AO,0,70A ROOM 2275A HEATING VAVLE,-1,101,160,-180,% OPEN
1,70A R2275B HWV,2,AO,1,70A ROOM 2275B HEATING VALVE,-1,101,160,-180,% OPEN
1,70A R2275C HWV,2,AO,2,70A ROOM 2275C HEATING VAVLE,-1,101,160,-180,% OPEN
1,70A R2263A H/C,2,AO,3,70A ROOMS 2263+2263A HEAT/COOL,-1,18,0,15,PSIG
